"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","67,810.7","66,990.7","74,031.0","65,093.1","616.11K","1.22%"
"02/01/2026","66,995.0","78,720.6","79,355.0","60,187.0","2.50M","-14.90%"
"01/01/2026","78,726.5","87,614.1","97,838.4","75,993.4","1.72M","-10.14%"
"12/01/2025","87,612.7","90,372.2","94,591.4","83,858.1","1.62M","-3.06%"
"11/01/2025","90,374.2","109,602.7","111,229.8","80,697.7","2.34M","-17.54%"
"10/01/2025","109,602.8","114,048.7","126,186.0","103,632.7","2.24M","-3.90%"
"09/01/2025","114,048.5","108,247.3","117,910.4","107,274.7","1.34M","5.38%"
"08/01/2025","108,226.8","115,766.7","124,436.8","107,433.4","1.58M","-6.51%"
"07/01/2025","115,765.0","107,176.4","123,104.7","105,163.5","1.68M","8.02%"
"06/01/2025","107,171.1","104,598.0","110,404.9","98,249.2","1.45M","2.46%"
"05/01/2025","104,598.0","94,181.3","111,953.6","93,408.8","2.03M","11.06%"
"04/01/2025","94,184.4","82,548.6","95,718.6","74,524.2","2.29M","14.10%"
"03/01/2025","82,548.8","84,353.4","94,986.5","76,677.1","2.37M","-2.17%"
"02/01/2025","84,381.2","102,421.3","102,770.8","78,329.8","2.40M","-10.74%"
"01/01/2025","94,536.1","94,600.0","95,928.1","89,423.1","55.30K","1.05%"
"12/01/2024","93,557.2","96,404.7","108,244.9","91,522.3","4.41M","-2.95%"
"11/01/2024","96,405.7","70,278.7","99,617.4","66,834.0","4.16M","37.17%"
"10/01/2024","70,281.8","63,329.9","73,569.4","59,075.7","2.56M","10.96%"
"09/01/2024","63,339.2","58,975.7","66,440.7","52,644.6","2.34M","7.39%"
"08/01/2024","58,978.6","64,625.7","65,587.9","49,486.9","2.56M","-8.74%"
"07/01/2024","64,626.0","62,768.8","70,000.2","53,883.4","2.06M","2.98%"
"06/01/2024","62,754.3","67,533.9","71,956.5","58,589.9","1.60M","-7.07%"
"05/01/2024","67,530.1","60,665.0","71,872.0","56,643.5","2.10M","11.31%"
"04/01/2024","60,666.6","71,329.3","72,710.8","59,228.7","2.66M","-14.95%"
