"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","67,958.0","66,990.7","74,031.0","65,093.1","612.82K","1.44%"
"02/22/2026","66,995.0","68,003.0","69,819.3","62,650.1","552.90K","-1.49%"
"02/15/2026","68,011.1","69,797.0","70,961.2","65,653.5","398.55K","-2.54%"
"02/08/2026","69,784.4","69,318.8","72,204.2","65,138.1","520.54K","0.67%"
"02/01/2026","69,319.5","78,720.6","79,355.0","60,187.0","1.03M","-11.95%"
"01/25/2026","78,726.5","89,254.7","90,520.9","75,993.4","525.26K","-11.80%"
"01/18/2026","89,254.9","95,141.4","95,522.6","87,285.1","329.68K","-6.19%"
"01/11/2026","95,141.4","90,485.1","97,838.4","90,134.5","391.85K","5.15%"
"01/04/2026","90,485.1","90,621.9","94,745.2","89,347.3","356.73K","-0.15%"
"12/28/2025","90,621.9","87,853.0","90,913.5","86,827.7","307.43K","3.15%"
"12/21/2025","87,850.8","88,364.1","90,457.5","86,448.4","276.28K","-0.58%"
"12/14/2025","88,364.0","90,248.3","90,472.3","84,490.5","372.50K","-2.09%"
"12/07/2025","90,249.3","89,209.8","94,591.4","87,747.6","359.67K","1.17%"
"11/30/2025","89,209.8","90,804.1","94,077.0","83,858.1","454.98K","-1.75%"
"11/23/2025","90,800.5","84,729.0","92,942.6","84,729.0","436.71K","7.18%"
"11/16/2025","84,721.6","95,587.6","96,575.1","80,697.7","730.77K","-11.37%"
"11/09/2025","95,587.6","102,311.3","107,461.3","94,126.2","538.83K","-6.57%"
"11/02/2025","102,311.1","110,097.1","111,229.8","99,001.8","573.97K","-7.08%"
"10/26/2025","110,103.6","111,646.0","116,307.5","106,371.4","408.82K","-1.38%"
"10/19/2025","111,646.1","107,189.9","113,971.6","106,134.9","447.31K","4.15%"
"10/12/2025","107,193.5","110,670.9","115,893.1","103,632.7","571.65K","-3.14%"
"10/05/2025","110,671.5","122,387.1","126,186.0","103,893.3","591.30K","-9.57%"
"09/28/2025","122,387.1","109,652.8","123,889.8","109,213.5","388.53K","11.61%"
"09/21/2025","109,652.8","115,699.2","115,833.2","108,673.0","320.20K","-5.23%"
"09/14/2025","115,699.2","115,924.8","117,910.4","114,412.2","278.32K","-0.19%"
"09/07/2025","115,924.9","110,194.4","116,684.3","110,185.6","316.85K","5.20%"
"08/31/2025","110,194.4","108,818.1","113,315.6","107,274.7","318.00K","1.26%"
"08/24/2025","108,818.1","115,431.5","115,663.3","107,433.4","401.65K","-5.73%"
"08/17/2025","115,433.3","117,393.8","118,559.4","111,698.5","352.92K","-1.69%"
"08/10/2025","117,413.4","116,468.4","124,436.8","116,468.4","417.72K","0.81%"
"08/03/2025","116,471.6","112,547.9","117,893.0","111,992.4","261.56K","3.49%"
"07/27/2025","112,547.7","117,918.3","119,788.2","112,015.5","369.36K","-4.55%"
"07/20/2025","117,917.6","117,848.4","120,253.1","114,843.5","432.84K","0.06%"
"07/13/2025","117,848.4","117,422.4","123,104.7","115,774.0","443.88K","0.37%"
"07/06/2025","117,419.5","108,204.7","118,848.4","107,474.2","350.15K","8.52%"
"06/29/2025","108,204.7","107,304.3","110,506.8","105,163.5","267.45K","0.84%"
"06/22/2025","107,304.4","102,114.5","108,261.2","98,249.2","374.67K","5.08%"
"06/15/2025","102,113.2","105,421.6","108,899.3","100,947.8","300.97K","-3.14%"
"06/08/2025","105,421.5","105,564.2","110,404.9","102,739.6","361.17K","-0.14%"
"06/01/2025","105,564.2","104,598.0","106,758.4","100,421.1","346.87K","0.92%"
"05/25/2025","104,598.0","107,763.0","110,718.7","103,091.3","395.16K","-2.94%"
"05/18/2025","107,763.0","103,113.9","111,953.6","102,088.2","589.40K","4.51%"
"05/11/2025","103,112.6","104,748.3","105,765.2","100,766.8","422.84K","-1.61%"
"05/04/2025","104,798.0","95,885.5","104,969.8","93,408.8","462.61K","9.29%"
"04/27/2025","95,885.8","94,631.4","97,881.8","92,818.9","389.99K","1.33%"
"04/20/2025","94,631.4","85,075.5","95,718.6","83,976.1","543.58K","11.24%"
"04/13/2025","85,068.1","85,282.5","86,438.8","83,049.6","382.54K","-0.26%"
"04/06/2025","85,292.7","83,528.0","85,893.5","74,524.2","758.85K","2.08%"
"03/30/2025","83,552.1","82,646.8","88,377.3","81,300.1","475.30K","1.10%"
"03/23/2025","82,645.7","83,840.2","88,740.2","81,668.2","445.19K","-1.43%"
"03/16/2025","83,840.5","84,341.3","87,419.0","81,171.3","384.35K","-0.59%"
"03/09/2025","84,341.3","86,221.5","86,498.6","76,677.1","601.20K","-2.18%"
